FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
30,,1919,Person,1919-30,100.3,linens,,20070517130611,19190716,digitised,JA70003000,,2398365,1003975.5812,3864.6133,,
30,,1919,Person,1919-30,612.7,linens,,20070517130621,19190620,digitised,JA70003000,,2398366,6127565.0984,13639.3535,,
300,,1919,Person,1919-300,30.4,linens,,20070517130622,19190720,digitised,JA70003000,,2398367,304415.4269,2499.2462,,
304,,1919,Person,1919-304,371.6,linens,,20070517130624,19190830,assumed_shape,JA70003000,,2398368,3716921.8272,7854.0026,,
306a,,1919,Person,1919-306a,75.4,linens,,20070517130624,19190815,assumed_shape,JA70003000,,2398369,754573.4096,3565.1161,,
317,,1919,Person,1919-317,45.8,linens,,20070517130612,19190808,digitised,JA70003000,,2398370,458458.5276,2883.599,,
32,,1919,Person,1919-32,1624.3,linens,,20070517130622,19190620,digitised,JA70003000,,2398371,16243645.875,17763.6245,,
327,,1919,Person,1919-327,359.4,linens,,20070517130613,19190826,digitised,JA70003000,,2398372,3594506.6196,7973.8157,,
328,,1919,Person,1919-328,185.8,linens,,20070517130613,19190828,digitised,JA70003000,,2398373,1858633.5472,6058.8665,,
329,,1919,Person,1919-329,169.7,linens,,20070517130624,19190820,assumed_shape,JA70003000,,2398374,1697993.3222,5445.3191,,
330,,1919,Person,1919-330,29.6,linens,,20070517130624,19190818,assumed_shape,JA70003000,,2398375,296635.8407,2531.8417,,
34,,1919,Person,1919-34,2943.6,linens,,20070517130619,19190617,digitised,JA70003000,,2398376,29436326.905,26879.7166,,
342,,1919,Person,1919-342,99.6,linens,,20070517130624,19190811,digitised,JA70003000,,2398377,996494.3338,3606.2319,,
346,,1919,Person,1919-346,40.1,linens,,20070517130624,19190827,assumed_shape,JA70003000,,2398378,401937.2229,3701.1512,,
347,,1919,Person,1919-347,61.9,linens,,20070517130612,19190828,digitised,JA70003000,,2398379,619053.0496,3078.2621,,
348,,1919,Person,1919-348,126.6,linens,,20070517130612,19190722,digitised,JA70003000,,2398380,1266533.2502,4509.2985,,
352,,1919,Person,1919-352,687.5,linens,,20070517130624,19190818,assumed_shape,JA70003000,,2398381,6875069.107,11582.6866,,
35b,,1919,Person,1919-35b,182.2,linens,,20070517130611,19190803,digitised,JA70003000,,2398382,1822367.7259,5794.6742,,
361,,1919,Person,1919-361,218.5,linens,,20070517130649,19190919,assumed_shape,JA70003000,,2398383,2185320.4649,9931.4396,,
363,,1919,Person,1919-363,207.9,linens,,20070517130612,19190831,digitised,JA70003000,,2398384,2079503.6159,6665.8379,,
365,,1919,Person,1919-365,36.4,linens,,20070517130623,19190808,assumed_shape,JA70003000,,2398385,364191.5247,2258.3996,,
366,,1919,Person,1919-366,22.9,linens,,20070517130623,19190818,assumed_shape,JA70003000,,2398386,229403.5743,1820.1159,,
367,,1919,Person,1919-367,15.3,linens,,20070517130613,19190725,digitised,JA70003000,,2398387,153352.8135,1535.9711,,
414b,,1919,Person,1919-414b,205.5,linens,,20070517130624,19190928,assumed_shape,JA70003000,,2398401,2055696.9883,5555.6577,,
418,,1919,Person,1919-418,1150.8,linens,,20070517130649,19190920,assumed_shape,JA70003000,,2398402,11508663.837,18988.7927,,
422,,1919,Person,1919-422,823.1,linens,,20070517130612,19190919,digitised,JA70003000,,2398403,8231774.3106,17773.4491,,
422,,1919,Person,1919-422,775.5,linens,,20070517130612,19190919,digitised,JA70003000,,2398404,7755227.4208,15364.1998,,
463,,1919,Person,1919-463,1181.4,linens,,20070517130624,19190902,assumed_shape,JA70003000,,2398427,11814649.5402,15540.7227,,
467,,1919,Person,1919-467,82.2,linens,,20070517130614,19190828,digitised,JA70003000,,2398428,822615.1339,3556.0687,,
