,FIRE_ZONE,FIRE_YEAR,FIRE_MONTH,SIZE_HA
0,Coastal_MidIsland,2022,10,3.4
0,Coastal_MidIsland,2022,9,0.0
0,Coastal_MidIsland,2022,8,6.4
0,Coastal_MidIsland,2022,7,0.0
0,Coastal_MidIsland,2022,6,0.0
0,Coastal_MidIsland,2022,5,0.0
0,Coastal_MidIsland,2022,4,0.0
0,Coastal_MidIsland,2022,3,0.0
0,Coastal_MidIsland,2022,2,0.0
0,Coastal_MidIsland,2022,1,0.0
0,Coastal_MidIsland,2021,12,0.0
0,Coastal_MidIsland,2021,11,0.0
0,Coastal_MidIsland,2021,10,0.0
0,Coastal_MidIsland,2021,9,0.0
0,Coastal_MidIsland,2021,8,0.0
0,Coastal_MidIsland,2021,7,0.0
0,Coastal_MidIsland,2021,6,2.0
0,Coastal_MidIsland,2021,5,0.0
0,Coastal_MidIsland,2021,4,0.0
0,Coastal_MidIsland,2021,3,0.0
0,Coastal_MidIsland,2021,2,0.0
0,Coastal_MidIsland,2021,1,0.0
0,Coastal_MidIsland,2020,12,0.0
0,Coastal_MidIsland,2020,11,0.0
0,Coastal_MidIsland,2020,10,0.0
0,Coastal_MidIsland,2020,9,0.0
0,Coastal_MidIsland,2020,8,0.0
0,Coastal_MidIsland,2020,7,0.0
0,Coastal_MidIsland,2020,6,0.0
0,Coastal_MidIsland,2020,5,0.0
0,Coastal_MidIsland,2020,4,0.0
0,Coastal_MidIsland,2020,3,0.0
0,Coastal_MidIsland,2020,2,0.0
0,Coastal_MidIsland,2020,1,0.0
0,Coastal_MidIsland,2019,12,0.0
0,Coastal_MidIsland,2019,11,0.0
0,Coastal_MidIsland,2019,10,0.0
0,Coastal_MidIsland,2019,9,0.0
0,Coastal_MidIsland,2019,8,3.1
0,Coastal_MidIsland,2019,7,0.0
0,Coastal_MidIsland,2019,6,1.8
0,Coastal_MidIsland,2019,5,15.4
0,Coastal_MidIsland,2019,4,0.0
0,Coastal_MidIsland,2019,3,0.0
0,Coastal_MidIsland,2019,2,0.0
0,Coastal_MidIsland,2019,1,0.0
0,Coastal_MidIsland,2018,12,0.0
0,Coastal_MidIsland,2018,11,0.0
0,Coastal_MidIsland,2018,10,0.0
0,Coastal_MidIsland,2018,9,0.0
0,Coastal_MidIsland,2018,8,46.0
0,Coastal_MidIsland,2018,7,0.8
0,Coastal_MidIsland,2018,6,0.0
0,Coastal_MidIsland,2018,5,0.0
0,Coastal_MidIsland,2018,4,0.0
0,Coastal_MidIsland,2018,3,4.6
0,Coastal_MidIsland,2018,2,0.0
0,Coastal_MidIsland,2018,1,0.0
0,Coastal_MidIsland,2017,12,0.0
0,Coastal_MidIsland,2017,11,0.0
0,Coastal_MidIsland,2017,10,11.8
0,Coastal_MidIsland,2017,9,0.0
0,Coastal_MidIsland,2017,8,1.7
0,Coastal_MidIsland,2017,7,0.0
0,Coastal_MidIsland,2017,6,14.8
0,Coastal_MidIsland,2017,5,0.0
0,Coastal_MidIsland,2017,4,0.0
0,Coastal_MidIsland,2017,3,0.0
0,Coastal_MidIsland,2017,2,0.0
0,Coastal_MidIsland,2017,1,0.0
0,Coastal_MidIsland,2016,12,0.0
0,Coastal_MidIsland,2016,11,0.0
0,Coastal_MidIsland,2016,10,0.0
0,Coastal_MidIsland,2016,9,0.0
0,Coastal_MidIsland,2016,8,6.0
