,zone,date,area_burned,mean_temp,total_precip
246,Coastal_MidIsland,2017-06-30,14.8,15.653846153846152,35.6
247,Coastal_MidIsland,2017-05-31,0.0,13.785,33.8
248,Coastal_MidIsland,2017-04-30,0.0,8.971428571428572,96.3
249,Coastal_MidIsland,2017-03-31,0.0,4.220000000000001,186.2
250,Coastal_MidIsland,2017-02-28,0.0,1.3470588235294116,185.3
251,Coastal_MidIsland,2017-01-31,0.0,-1.0380952380952384,116.4
252,Coastal_MidIsland,2016-12-31,0.0,-0.4624999999999999,156.0
253,Coastal_MidIsland,2016-11-30,0.0,8.065384615384614,520.6
254,Coastal_MidIsland,2016-10-31,0.0,10.111538461538462,314.0
255,Coastal_MidIsland,2016-09-30,0.0,14.066666666666666,82.4
256,Coastal_MidIsland,2016-08-31,6.0,19.74,33.0
257,Coastal_MidIsland,2016-07-31,0.0,18.317241379310342,16.6
258,Coastal_MidIsland,2016-06-30,2.2,15.989655172413793,38.6
259,Coastal_MidIsland,2016-05-31,0.0,14.044827586206896,33.8
260,Coastal_MidIsland,2016-04-30,0.0,11.363333333333337,52.2
261,Coastal_MidIsland,2016-03-31,0.0,7.195652173913042,314.19999999999993
262,Coastal_MidIsland,2016-02-29,0.0,5.8578947368421055,216.2
263,Coastal_MidIsland,2016-01-31,0.0,4.26470588235294,291.6
264,Coastal_MidIsland,2015-12-31,0.0,6.054545454545454,300.40000000000003
265,Coastal_MidIsland,2015-11-30,0.0,6.333333333333333,51.8
266,Coastal_MidIsland,2015-10-31,0.0,12.272727272727272,122.0
267,Coastal_MidIsland,2015-09-30,0.0,14.396153846153847,73.0
268,Coastal_MidIsland,2015-08-31,5.6,18.734482758620683,75.8
269,Coastal_MidIsland,2015-07-31,462.9,19.842857142857145,24.8
270,Coastal_MidIsland,2015-06-30,3.2,18.043333333333333,14.2
271,Coastal_MidIsland,2015-05-31,0.0,16.508333333333336,1.4
272,Coastal_MidIsland,2015-04-30,0.0,11.02,15.6
273,Coastal_MidIsland,2015-03-31,0.0,9.95,196.0
274,Coastal_MidIsland,2015-02-28,0.0,9.342857142857142,155.39999999999998
275,Coastal_MidIsland,2015-01-31,0.0,8.533333333333333,25.2
276,Coastal_MidIsland,2014-12-31,0.0,9.8,246.4
277,Coastal_MidIsland,2014-11-30,0.0,8.969999999999999,151.2
278,Coastal_MidIsland,2014-10-31,0.0,12.382758620689655,437.19999999999993
279,Coastal_MidIsland,2014-09-30,0.0,16.470833333333335,58.0
280,Coastal_MidIsland,2014-08-31,0.0,20.206451612903223,22.8
281,Coastal_MidIsland,2014-07-31,0.0,19.60322580645161,30.4
282,Coastal_MidIsland,2014-06-30,0.0,15.628571428571428,17.4
283,Coastal_MidIsland,2014-05-31,1.0,13.706451612903225,29.599999999999994
284,Coastal_MidIsland,2014-04-30,0.0,8.343333333333334,110.6
